> Current state of every patch. Source of truth for "where are we";
> DECISIONS.md is the source of truth for "why".
>
> CTC round 1 results are against anchor d6b40b789381601440e4ce2cc1164cd57e8c3c7d,
> Class A1 (17f, 4K) and A2 (33f, 1080p), Speed 4 for pruning patches, Speed 2 for
> the bit-exact ones. Bar is the Complexity-to-Efficiency ratio
> (speedup% / BD-rate%): >=20 at Speed 4, >=25 Speed 3, >=30 Speed 2, >=35 Speed 1.
>
> mechanism: reuse = caching/allocation/restore, MUST be bit-exact.
>            approx = prunes candidates, has a real quality cost.
id,name,mechanism,t0_bitexact,ctc_speed,a1_speedup,a1_bdyuv,a1_ratio,a2_speedup,a2_bdyuv,a2_ratio,status,notes
i09,tx-partition stationarity pruning,approx,n/a,4,+2.60%,+0.11%,23.6,+2.27%,+0.09%,25.2,PROMOTE,"Only patch passing the bar on BOTH classes. Modest but genuine. A2 ratio 25.2 also meets the Speed-3 bar; A1 23.6 does not, so scope it to Speed 4"
i06,ext-partition texture pruning,approx,n/a,4,+14.00%,+0.75%,18.7,+18.52%,+1.29%,14.4,IMPROVE,"Only patch with real magnitude. Fails bar 20 on both, A2 binds. Needs A2 BD cut 1.29%->0.926% (-28%) at constant speed. A1 needs only -6.7%. Worse ratio on A2 despite HIGHER speedup => damage compounds temporally"
i01,tx-type RD saturation exit,approx,n/a,4,+4.27%,+1.22%,3.5,+5.05%,+0.88%,5.7,DISCARD,"Real speedup but BD cost 4-6x too high. Gap to bar 20 is too large to tune"
i07,RD-density partition termination,approx,n/a,4,+0.22%,+0.30%,0.7,+2.84%,+0.76%,3.7,DISCARD,"Near-zero speedup on A1, real BD cost on both"
i08,DRL dispersion budget,approx,n/a,4,-0.45%,+0.04%,-11.3,+0.91%,-0.01%,inf,DISCARD,"Slower on A1. A2 'infinite ratio' is a rounding artifact of a -0.01% BD, not a win"
i04,sub-pel curvature gate,approx,n/a,4,-1.31%,+0.11%,-11.9,+0.05%,-0.03%,inf,DISCARD,"Slower on A1, flat on A2. Confirms the round-1 paired data, which showed it as a slowdown while round-robin called it noise"
i10,adaptive ME search range,approx,n/a,4,-0.14%,-0.04%,n/a,-0.71%,-0.20%,n/a,DISCARD,"Slower on BOTH classes. Negative BD is meaningless without a speedup"
i02,IST sparse coeff restore,reuse,PASS,2,-2.34%,+0.00%,n/a,+0.41%(partial),+0.00%,inf,DISCARD,"Bit-exactness CONFIRMED by CTC: exactly +0.00% on every metric. But SLOWER on A1 4K. Zero risk, zero benefit"
i03,PICK_MODE_CONTEXT arena alloc,reuse,PASS,2,-2.50%,+0.00%,n/a,+0.07%(partial),+0.00%,inf,DISCARD,"Bit-exactness CONFIRMED. Slowest of the three on A1. One large arena appears to cost more in locality at 4K than the many small allocations it replaced"
i05,full-pel search memoization,reuse,PASS,2,-1.39%,+0.00%,n/a,-1.01%(partial),+0.00%,n/a,DISCARD,"Bit-exactness CONFIRMED, and the memo key is correct. But slower on both: at 4K the lookup is paid on every call and the hit rate does not repay it"
BITEXACT-COMB,i02+i03+i05 together,reuse,n/a,2,-2.55%,+0.00%,n/a,-1.17%(partial),+0.00%,n/a,DISCARD,"The three together are slower than baseline. Confirms they are individually and jointly worthless as speed features"
ALL10,all ten patches combined,mixed,n/a,4,+20.34%,+2.50%,8.1,+24.00%,+3.45%,7.0,DISCARD,"Dominated by i06. Backing i06 out implies the other nine give only ~7.4%/~6.7% speed for ~1.75%/~2.16% BD, a ratio of ~4.2/~3.1. The combination is i06 plus ballast"
ALL10-S3,all ten combined at Speed 3,mixed,n/a,3,+25.18%,+3.12%,8.1,+29.25%,+3.85%,7.6,DISCARD,"Bar at Speed 3 is 25; ratio 8.1/7.6"
